t,x,y,z,yaw
8.7660,0.053213,-0.166822,1.175171,-33.5761
8.7820,0.055796,-0.169699,1.175827,-33.2786
8.8130,0.058502,-0.172598,1.176481,-33.1959
8.8290,0.061202,-0.175417,1.177660,-33.2657
8.8440,0.064113,-0.178000,1.178697,-33.1704
8.8600,-0.062156,-0.244135,1.148556,-32.9187
8.8910,-0.061558,-0.247730,1.148828,-32.5655
8.9070,-0.060531,-0.251053,1.149289,-32.2143
8.9220,-0.059278,-0.254391,1.149712,-31.9102
8.9380,-0.056413,-0.258610,1.150391,-31.6855
8.9690,-0.054463,-0.262407,1.150448,-31.4257
8.9850,-0.052418,-0.266244,1.150210,-31.2053
9.0000,-0.050210,-0.270021,1.149853,-31.1082
9.0320,-0.047840,-0.273790,1.149413,-30.7968
9.0470,-0.045241,-0.277611,1.149098,-30.6541
9.0630,-0.042481,-0.281462,1.148546,-30.5763
9.0790,-0.037073,-0.283994,1.148403,-30.5091
9.1100,-0.033756,-0.287629,1.147512,-30.5127
9.1250,-0.030259,-0.291266,1.146594,-30.4284
9.1410,-0.026484,-0.294862,1.145910,-30.3890
9.1720,-0.022667,-0.298538,1.145704,-30.3057
9.1880,-0.018641,-0.302146,1.145910,-30.2150
9.2190,-0.014351,-0.305851,1.146132,-30.2442
9.2190,-0.010185,-0.309311,1.146245,-30.1975
9.2500,-0.006371,-0.312971,1.146096,-30.0861
9.2660,-0.002268,-0.316424,1.145973,-29.9257
9.2820,0.002144,-0.319667,1.146130,-29.7319
9.3130,0.006790,-0.323009,1.146328,-29.4982
9.3290,0.011322,-0.326712,1.146390,-29.3544
9.3440,0.016253,-0.330128,1.146577,-29.1782
9.3600,0.021294,-0.333637,1.146854,-29.0277
9.3910,0.026216,-0.336996,1.148045,-28.9849
9.4070,0.030839,-0.341091,1.149343,-28.9468
9.4220,0.035935,-0.344584,1.150777,-28.9207
9.4540,0.040829,-0.348518,1.151663,-28.8147
9.4690,0.045776,-0.352030,1.152642,-28.6456
9.4850,0.050654,-0.355641,1.153643,-28.6075
9.5000,0.055508,-0.359193,1.154665,-28.7238
9.5320,0.060388,-0.362653,1.155847,-28.5873
9.5470,0.065010,-0.366422,1.157171,-28.4786
9.5630,0.069758,-0.370134,1.158571,-28.5175
9.5790,0.074090,-0.373791,1.160072,-28.6148
9.6100,0.078457,-0.377098,1.161485,-28.6199
9.6250,0.082938,-0.380560,1.162796,-28.5290
9.6410,0.087221,-0.384242,1.163901,-28.4931
9.6720,0.091070,-0.387452,1.165097,-28.5690
9.6880,0.095237,-0.391158,1.166393,-28.5507
